province	CA-AB	Alberta	en		
province	CA-BC	British Columbia	en		
province	CA-MB	Manitoba	en		
province	CA-NB	New Brunswick	en		
province	CA-NL	Newfoundland and Labrador	en		
territory	CA-NT	Northwest Territories	en		
province	CA-NS	Nova Scotia	en		
territory	CA-NU	Nunavut	en		
province	CA-ON	Ontario	en		
province	CA-PE	Prince Edward Island	en		
province	CA-QC	Quebec	en		
province	CA-SK	Saskatchewan	en		
territory	CA-YT	Yukon	en
